iter	Passed	Remaining
437	1260	1617
438	1262	1613
439	1264	1609
440	1265	1604
441	1267	1599
442	1268	1595
443	1270	1590
444	1274	1589
445	1276	1586
446	1279	1582
447	1280	1577
448	1283	1575
449	1285	1570
450	1289	1569
451	1290	1564
452	1292	1560
453	1293	1556
454	1295	1551
455	1297	1547
456	1298	1542
457	1300	1538
458	1305	1539
459	1308	1536
460	1310	1532
461	1313	1529
462	1315	1525
463	1320	1525
464	1323	1522
465	1325	1518
466	1327	1514
467	1328	1510
468	1330	1506
469	1332	1502
470	1334	1498
471	1338	1496
472	1339	1492
473	1341	1488
474	1343	1484
475	1344	1480
476	1346	1476
477	1348	1472
478	1350	1468
479	1351	1464
480	1352	1459
481	1354	1455
482	1355	1451
483	1357	1447
484	1359	1443
485	1361	1439
486	1366	1439
487	1368	1435
488	1370	1432
489	1372	1428
490	1374	1424
491	1376	1421
492	1378	1417
493	1381	1414
494	1383	1411
495	1386	1408
496	1387	1404
497	1391	1402
498	1393	1398
499	1395	1395
500	1396	1390
501	1398	1387
502	1399	1383
503	1401	1379
504	1404	1376
505	1406	1373
506	1408	1369
507	1410	1366
508	1412	1362
509	1413	1358
510	1415	1354
511	1416	1349
512	1417	1345
513	1423	1345
514	1425	1342
515	1428	1340
516	1430	1336
517	1431	1332
518	1436	1331
519	1438	1327
520	1439	1323
521	1441	1319
522	1442	1315
523	1444	1311
524	1445	1308
525	1449	1305
526	1450	1301
527	1451	1297
528	1453	1294
529	1455	1290
530	1456	1286
531	1458	1282
532	1459	1278
533	1462	1276
534	1464	1272
535	1466	1269
536	1468	1265
537	1469	1262
538	1472	1259
539	1474	1255
540	1478	1254
541	1479	1250
542	1481	1246
543	1483	1243
544	1484	1239
545	1485	1235
546	1487	1231
547	1490	1229
548	1494	1227
549	1495	1223
550	1497	1220
551	1498	1216
552	1500	1212
553	1501	1209
554	1503	1205
555	1505	1202
556	1508	1199
557	1510	1196
558	1512	1193
559	1513	1189
560	1515	1186
561	1517	1182
562	1519	1179
563	1521	1175
564	1523	1172
565	1525	1169
566	1526	1165
567	1528	1162
568	1529	1158
569	1531	1155
570	1533	1151
571	1534	1148
572	1537	1145
573	1539	1142
574	1541	1139
575	1542	1135
576	1544	1132
577	1545	1128
578	1548	1125
579	1549	1122
580	1552	1119
581	1553	1116
582	1556	1113
583	1557	1109
584	1559	1106
585	1560	1102
586	1563	1100
587	1565	1096
588	1568	1094
589	1569	1091
590	1571	1087
591	1573	1084
592	1574	1080
593	1576	1077
594	1577	1073
595	1579	1070
596	1582	1068
597	1584	1065
598	1586	1062
599	1588	1058
600	1589	1055
601	1591	1052
602	1593	1049
603	1595	1045
604	1597	1042
605	1599	1039
606	1600	1036
607	1602	1033
608	1604	1029
609	1606	1026
610	1608	1023
611	1610	1021
612	1612	1018
613	1614	1014
614	1616	1011
615	1618	1008
616	1620	1005
617	1621	1002
618	1624	999
619	1627	997
620	1629	994
621	1630	990
622	1632	987
623	1634	984
624	1635	981
625	1637	978
626	1639	975
627	1641	972
628	1644	969
629	1645	966
630	1647	963
631	1649	960
632	1652	958
633	1657	956
634	1660	954
635	1665	953
636	1667	950
637	1669	947
638	1673	945
639	1677	943
640	1682	942
641	1689	941
642	1690	938
643	1693	936
644	1695	933
645	1697	930
646	1698	926
647	1702	924
648	1704	921
649	1706	918
650	1708	915
651	1709	912
652	1711	909
653	1714	906
654	1716	904
655	1719	901
656	1721	898
657	1723	895
658	1725	892
659	1727	889
660	1728	886
661	1730	883
662	1732	880
663	1734	877
664	1735	874
665	1738	871
666	1739	868
667	1741	865
668	1743	862
669	1746	860
670	1749	857
671	1752	855
672	1754	852
673	1756	849
674	1759	847
675	1762	844
676	1764	842
677	1767	839
678	1771	837
679	1778	836
680	1782	835
681	1784	832
682	1786	829
683	1789	826
684	1793	824
685	1796	822
686	1799	819
687	1802	817
688	1807	815
689	1809	813
690	1811	810
691	1813	807
692	1816	804
693	1820	802
694	1822	799
695	1824	797
696	1826	794
697	1828	791
698	1831	788
699	1832	785
700	1835	782
701	1837	780
702	1839	777
703	1841	774
704	1844	771
705	1846	768
